Hostname,Model,CPUs,RAMGB,RAMSlots,RAMSpeedMHz,Disks
AD01,Virtual Machine," * Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz
24 Cores
24 Threads
3332 MHz",3,2/2 slots,,"DeviceID: C:
Size: 511 GB
Free Space: 485 GB"
RDSIS,Virtual Machine," * Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz
8 Cores
16 Threads
2394 MHz",4,3/3 slots,,"DeviceID: C:
Size: 126 GB
Free Space: 103 GB"
F01,Virtual Machine," * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
8 Cores
16 Threads
3000 MHz",4,2/2 slots,,"DeviceID: C:
Size: 399 GB
Free Space: 318 GB

DeviceID: D:
Size: 9840 GB
Free Space: 4037 GB

DeviceID: F:
Size: 1024 GB
Free Space: 593 GB"
RDS03,Virtual Machine," * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
8 Cores
16 Threads
3000 MHz",2,2/2 slots,,"DeviceID: C:
Size: 1023 GB
Free Space: 977 GB"
AD02,Virtual Machine," * Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
2 Cores
4 Threads
2600 MHz",1,2/2 slots,,"DeviceID: C:
Size: 511 GB
Free Space: 486 GB"
Server10,Virtual Machine," * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
8 Cores
16 Threads
3000 MHz",4,2/2 slots,,"DeviceID: C:
Size: 390 GB
Free Space: 347 GB

DeviceID: D:
Size: 9849 GB
Free Space: 4083 GB"
Server17,Virtual Machine," * Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz
4 Cores
4 Threads
3332 MHz",25,2/2 slots,,"DeviceID: C:
Size: 199 GB
Free Space: 127 GB"
H07,PowerEdge R730xd,"2 * Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
6 Cores
12 Threads
2400 MHz",64,8/24 slots,2133,"DeviceID: C:
Size: 399 GB
Free Space: 372 GB

DeviceID: D:
Size: 27542 GB
Free Space: 12504 GB"
H08,PowerEdge R630,"2 * Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz
4 Cores
8 Threads
3000 MHz",64,2/24 slots,2666,"DeviceID: C:
Size: 399 GB
Free Space: 361 GB

DeviceID: D:
Size: 11045 GB
Free Space: 2882 GB"
MYOB2,Virtual Machine," * Intel(R) Xeon(R) CPU E5-2637 v3 @ 3.50GHz
8 Cores
16 Threads
3500 MHz",3,2/2 slots,,"DeviceID: C:
Size: 1023 GB
Free Space: 979 GB"
